id,x,y,fix_x,fix_y,movable
0,-7.5,0.0,1,1,0
1,-5.25,0.0,0,0,0
2,-2.25,0.0,0,0,0
3,0.0,0.0,0,0,0
4,2.25,0.0,0,0,0
5,5.25,0.0,0,0,0
6,7.5,0.0,0,1,0
7,-7.190261843903321,1.01532828244187,0,0,1
8,-6.763972750267962,1.554265767555536,0,0,1
9,-5.788714281654084,2.364687852345221,0,0,1
10,-1.447846577519491,4.971832578710664,0,0,1
11,1.447846577519491,4.971832578710664,0,0,1
12,5.788714281654084,2.364687852345221,0,0,1
13,6.763972750267962,1.554265767555536,0,0,1
14,7.190261843903321,1.01532828244187,0,0,1
