id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0
1,-4.614045267178703,0.0,0,0,1,0
2,-1.6142936359402966,0.0,0,0,1,0
3,0.0,0.0,0,0,1,0
4,1.6142936359402966,0.0,0,0,1,0
5,4.614045267178703,0.0,0,0,1,0
6,7.5,0.0,0,1,0,0
7,-7.098262909807709,-2.190686928828568,0,0,1,1
8,-5.871793252763132,-4.069642783815646,0,0,1,1
9,0.0,-6.610614951637533,0,0,1,1
10,5.871793252763132,-4.069642783815646,0,0,1,1
11,7.098262909807709,-2.190686928828568,0,0,1,1
12,-7.448776734445918,-1.0185200025201098,0,0,1,1
13,7.448776734445918,-1.0185200025201098,0,0,1,1
